hundred_block,street_name,block,n_permits,n_types,first_date,last_date,mean_gap,duration,duration_wk,duration_mn,permits_mn,permits_wk,street_address,lon,lat
2300,ARMORY ST,2300 ARMORY ST,1,1,2013-11-23T00:00:00Z,2013-11-23T00:00:00Z,,0,0,0,Inf,Inf,"2300 ARMORY ST, Philadelphia, PA",-75.1780855,39.9530303
300,ARMSTRONG ST,300 ARMSTRONG ST,1,1,2015-06-20T00:00:00Z,2015-06-20T00:00:00Z,,0,0,0,Inf,Inf,"300 ARMSTRONG ST, Philadelphia, PA",-75.1622994,40.0344797
500,ARMSTRONG ST,500 ARMSTRONG ST,1,1,2011-09-04T00:00:00Z,2011-09-04T00:00:00Z,,0,0,0,Inf,Inf,"500 ARMSTRONG ST, Philadelphia, PA",-75.1605647,40.0368507
700,ARNOLD ST,700 ARNOLD ST,4,1,2008-08-09T00:00:00Z,2011-08-27T00:00:00Z,371,1113,159,37.1,0.107816711590296,0.0251572327044025,"700 ARNOLD ST, Philadelphia, PA",-75.074459,40.08048
800,ARNOLD ST,800 ARNOLD ST,1,1,2007-08-18T00:00:00Z,2007-08-18T00:00:00Z,,0,0,0,Inf,Inf,"800 ARNOLD ST, Philadelphia, PA",-75.0732249,40.0795249
900,ARROTT ST,900 ARROTT ST,1,1,2009-07-04T00:00:00Z,2009-07-04T00:00:00Z,,0,0,0,Inf,Inf,"900 ARROTT ST, Philadelphia, PA",-75.09445,40.0227901
500,ARTHUR ST,500 ARTHUR ST,4,1,2006-08-26T00:00:00Z,2012-08-18T00:00:00Z,728,2184,312,72.8,0.054945054945055,0.0128205128205128,"500 ARTHUR ST, Philadelphia, PA",-75.0808691,40.0782838
600,ARTHUR ST,600 ARTHUR ST,4,1,2006-07-15T00:00:00Z,2012-09-15T00:00:00Z,751.333333333333,2254,322,75.1333333333334,0.0532386867790594,0.0124223602484472,"600 ARTHUR ST, Philadelphia, PA",-75.0792517,40.0771972
3400,ARTHUR ST,3400 ARTHUR ST,5,1,2006-08-19T00:00:00Z,2010-08-21T00:00:00Z,365.75,1463,209,48.7666666666667,0.102529049897471,0.0239234449760766,"3400 ARTHUR ST, Philadelphia, PA",-75.0248344,40.0462018
2600,ASH ST,2600 ASH ST,1,1,2006-09-09T00:00:00Z,2006-09-09T00:00:00Z,,0,0,0,Inf,Inf,"2600 ASH ST, Philadelphia, PA",-75.0699553,40.0030676
4300,ASHBURNER ST,4300 ASHBURNER ST,1,1,2016-05-21T00:00:00Z,2016-05-21T00:00:00Z,,0,0,0,Inf,Inf,"4300 ASHBURNER ST, Philadelphia, PA",-75.0187413,40.0427148
3300,ASHFIELD LN,3300 ASHFIELD LN,2,1,2014-08-30T00:00:00Z,2015-09-05T00:00:00Z,371,371,53,12.3666666666667,0.161725067385445,0.0377358490566038,"3300 ASHFIELD LN, Philadelphia, PA",-74.989635,40.076398
2500,ASHFORD ST,2500 ASHFORD ST,2,1,2013-06-01T00:00:00Z,2014-07-19T00:00:00Z,413,413,59,13.7666666666667,0.145278450363196,0.0338983050847458,"2500 ASHFORD ST, Philadelphia, PA",-75.2449446,39.9116201
3400,ASHVILLE ST,3400 ASHVILLE ST,2,2,2006-09-02T00:00:00Z,2007-09-08T00:00:00Z,371,371,53,12.3666666666667,0.161725067385445,0.0377358490566038,"3400 ASHVILLE ST, Philadelphia, PA",-75.032713,40.0433486
4600,ASHVILLE ST,4600 ASHVILLE ST,4,2,2009-08-15T00:00:00Z,2012-08-25T00:00:00Z,368.666666666667,1106,158,36.8666666666667,0.108499095840868,0.0253164556962025,"4600 ASHVILLE ST, Philadelphia, PA",-75.0275216,40.0351791
4700,ASHVILLE ST,4700 ASHVILLE ST,2,2,2009-07-25T00:00:00Z,2015-09-06T00:00:00Z,2234,2234,319.142857142857,74.4666666666667,0.026857654431513,0.0062667860340197,"4700 ASHVILLE ST, Philadelphia, PA",-75.0268446,40.0342247
2200,ASPEN ST,2200 ASPEN ST,2,1,2012-09-16T00:00:00Z,2014-08-09T00:00:00Z,692,692,98.8571428571429,23.0666666666667,0.0867052023121387,0.0202312138728324,"2200 ASPEN ST, Philadelphia, PA",-75.1739694,39.9683482
3500,ASPEN ST,3500 ASPEN ST,6,2,2008-08-31T00:00:00Z,2014-07-04T00:00:00Z,426.6,2133,304.714285714286,71.1,0.0843881856540085,0.019690576652602,"3500 ASPEN ST, Philadelphia, PA",-75.1937015,39.9672958
3800,ASPEN ST,3800 ASPEN ST,23,3,2007-09-03T00:00:00Z,2015-09-06T00:00:00Z,132.954545454545,2925,417.857142857143,97.5,0.235897435897436,0.055042735042735,"3800 ASPEN ST, Philadelphia, PA",-75.1980629,39.966811
3900,ASPEN ST,3900 ASPEN ST,3,1,2010-06-12T00:00:00Z,2014-06-14T00:00:00Z,731.5,1463,209,48.7666666666667,0.0615174299384826,0.0143540669856459,"3900 ASPEN ST, Philadelphia, PA",-75.2004647,39.9663878
4000,ASPEN ST,4000 ASPEN ST,12,2,2008-07-04T00:00:00Z,2015-07-04T00:00:00Z,232.363636363636,2556,365.142857142857,85.2,0.140845070422535,0.0328638497652582,"4000 ASPEN ST, Philadelphia, PA",-75.2028875,39.9662826
4900,ASPEN ST,4900 ASPEN ST,3,1,2010-05-29T00:00:00Z,2011-06-11T00:00:00Z,189,378,54,12.6,0.238095238095238,0.0555555555555556,"4900 ASPEN ST, Philadelphia, PA",-75.218478,39.964836
5000,ASPEN ST,5000 ASPEN ST,12,1,2012-07-04T00:00:00Z,2015-07-25T00:00:00Z,101.454545454545,1116,159.428571428571,37.2,0.32258064516129,0.0752688172043011,"5000 ASPEN ST, Philadelphia, PA",-75.2201699,39.9648479
12100,ASTER RD,12100 ASTER RD,4,1,2009-08-22T00:00:00Z,2015-06-27T00:00:00Z,711.666666666667,2135,305,71.1666666666667,0.0562060889929742,0.0131147540983607,"12100 ASTER RD, Philadelphia, PA",-74.9825336,40.0971984
3200,ATMORE RD,3200 ATMORE RD,4,1,2008-07-12T00:00:00Z,2014-08-02T00:00:00Z,737.333333333333,2212,316,73.7333333333333,0.054249547920434,0.0126582278481013,"3200 ATMORE RD, Philadelphia, PA",-74.9698623,40.1017703
3300,ATMORE RD,3300 ATMORE RD,10,1,2006-09-16T00:00:00Z,2015-08-29T00:00:00Z,363.222222222222,3269,467,108.966666666667,0.0917711838482716,0.0214132762312634,"3300 ATMORE RD, Philadelphia, PA",-74.9700378,40.100878
600,ATWOOD RD,600 ATWOOD RD,12,1,2009-08-29T00:00:00Z,2015-08-08T00:00:00Z,197.272727272727,2170,310,72.3333333333333,0.165898617511521,0.0387096774193548,"600 ATWOOD RD, Philadelphia, PA",-75.2497201,39.9722559
700,ATWOOD RD,700 ATWOOD RD,7,2,2006-09-03T00:00:00Z,2015-09-05T00:00:00Z,548.166666666667,3289,469.857142857143,109.633333333333,0.0638491942839769,0.0148981453329279,"700 ATWOOD RD, Philadelphia, PA",-75.250333,39.9738258
800,ATWOOD RD,800 ATWOOD RD,3,1,2008-08-31T00:00:00Z,2012-09-02T00:00:00Z,731.5,1463,209,48.7666666666667,0.0615174299384826,0.0143540669856459,"800 ATWOOD RD, Philadelphia, PA",-75.2502039,39.9748305
900,ATWOOD RD,900 ATWOOD RD,7,1,2006-08-26T00:00:00Z,2015-08-01T00:00:00Z,543.666666666667,3262,466,108.733333333333,0.0643776824034335,0.0150214592274678,"900 ATWOOD RD, Philadelphia, PA",-75.2507668,39.9763459
1100,ATWOOD RD,1100 ATWOOD RD,8,2,2006-07-04T00:00:00Z,2015-09-12T00:00:00Z,479.571428571429,3357,479.571428571429,111.9,0.0714924039320822,0.0166815609174859,"1100 ATWOOD RD, Philadelphia, PA",-75.2510297,39.9777538
1200,ATWOOD RD,1200 ATWOOD RD,3,1,2010-07-03T00:00:00Z,2015-08-01T00:00:00Z,927.5,1855,265,61.8333333333333,0.0485175202156334,0.0113207547169811,"1200 ATWOOD RD, Philadelphia, PA",-75.252446,39.979058
1900,AUTH ST,1900 AUTH ST,6,1,2007-08-18T00:00:00Z,2012-08-18T00:00:00Z,365.4,1827,261,60.9,0.0985221674876847,0.0229885057471264,"1900 AUTH ST, Philadelphia, PA",-75.0867629,40.008106
